"modelName","UrbanHhDvmt","TownHhDvmt","RuralHhDvmt","ComSvcUrbanDvmt","ComSvcTownDvmt","ComSvcRuralDvmt","HvyTrkUrbanDvmt","LdvTotDelay","BusTotDelay","ComSvcUrbanGGE","ComSvcNonUrbanGGE","HvyTrkUrbanGGE","ComSvcUrbanKWH","ComSvcNonUrbanKWH","HvyTrkUrbanKWH","ComSvcUrbanCO2e","ComSvcNonUrbanCO2e","HvyTrkUrbanCO2e","BusGGE","RailGGE","VanGGE","BusKWH","RailKWH","VanKWH","BusCO2e","RailCO2e","VanCO2e"
"VERSPM_NVTA_A2",23766473.9148031,1768094.92848858,1579996.39395973,1534937.14303462,89068.7283705869,109119.407389487,1206452.28952208,8603.43355797209,23.207544025879,33819.9361449559,4533.79644354803,48450.9258711206,268.661918838882,35.0958725993976,12058.0337884627,406517.962500669,54489.2478109837,648413.285214855,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_A3",23506328.3032913,1644182.23670997,1548441.87149656,1541477.25894178,82419.3717469862,109219.146634178,1212957.83741498,8446.85376082775,23.0754484347484,33964.8817758292,4383.97327345637,48709.4773741048,269.848736116456,33.9360426417491,12123.0542762071,408260.498627698,52688.6036951439,651878.786134145,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_A4",23771467.0903391,1768857.49269962,1580465.39521686,1534928.728085,89068.2400712026,109118.80916674,1206452.28952208,8605.38474707611,23.2092246637956,33819.7381163066,4533.77149051434,48450.9629098269,268.659901283905,35.0956801941248,12058.0337884627,406515.578670164,54488.9479199485,648413.707986588,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_C2",25333612.3040401,1806706.51837499,1670159.55081769,1695287.3432136,90862.2256335912,120350.561094066,1334610.43318447,9465.29833605101,23.9782411731408,37342.7521321813,4831.7024255725,53622.8174003182,296.429043908515,37.4023249470965,13338.9259049341,448860.732520538,58069.6217153475,717578.752575239,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_C3",23488594.3706963,1642733.89312349,1547704.18783801,1541477.25894178,82419.3717469862,109219.146634178,1212957.83741498,8440.8827217179,23.0700435722952,33964.9256974963,4383.97359318386,48709.3711231974,269.850550546889,33.9360426417491,12123.0542762071,408261.038151076,52688.6075181564,651877.573352035,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_C4",25333463.4460558,1806478.4282943,1670197.76115724,1695287.3432136,90862.2256335912,120350.561094066,1334610.43318447,9465.1083242246,23.9781231678396,37342.752609245,4831.70243021251,53622.8122359442,296.42907782941,37.4023249470965,13338.9259049341,448860.738493094,58069.6217708285,717578.69362741,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_E2",23490166.2112332,1643164.3886055,1547992.33776907,1541477.25894178,82419.3717469862,109219.146634178,1212957.83741498,8441.88539300416,23.0709513034412,33964.9183201587,4383.97353948077,48709.3889638146,269.850245784091,33.9360426417491,12123.0542762071,408260.947529601,52688.6068760234,651877.776990592,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_F2",23487973.1018843,1643023.87187792,1547903.70341745,1541477.25894178,82419.3717469862,109219.146634178,1212957.83741498,8440.91576211239,23.0700734850467,33964.9254543833,4383.97359141412,48709.3717110797,269.850540503723,33.9360426417491,12123.0542762071,408261.035164733,52688.6074969955,651877.580062313,6923.7319221813,0,626.197659532418,562.078352355679,7121.45172111734,78.3303690645841,83708.4773592515,56330.5358166514,7998.28195970097
"VERSPM_NVTA_G2",23487973.1018843,1643023.87187792,1547903.70341745,1541477.25894178,82419.3717469862,109219.146634178,1212957.83741498,8440.91576211239,23.0700734850467,33964.9254543833,4383.97359141412,48709.3717110797,269.850540503723,33.9360426417491,12123.0542762071,302278.120036768,39009.0351429676,651877.580062313,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_G3",23487973.1018843,1643023.87187792,1547903.70341745,1541477.25894178,82419.3717469862,109219.146634178,1212957.83741498,8440.91576211239,23.0700734850467,33964.9254543833,4383.97359141412,48709.3717110797,269.850540503723,33.9360426417491,12123.0542762071,282601.895594118,36469.3549528501,651877.580062313,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_H2",23487973.1018843,1643023.87187792,1547903.70341745,1541477.25894178,82419.3717469862,109219.146634178,1212957.83741498,8440.91576211239,23.0700734850467,33964.9254543833,4383.97359141412,0,269.850540503723,33.9360426417491,24246.1085524141,408261.035164733,52688.6074969955,191786.217152349,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_I2",23487973.1018843,1643023.87187792,1547903.70341745,1541477.25894178,82419.3717469862,109219.146634178,1212957.83741498,8440.91576211239,23.0700734850467,33964.9254543833,4383.97359141412,48709.3717110797,269.850540503723,33.9360426417491,12123.0542762071,407779.534254256,52628.0545872274,630246.118213585,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,43623.555570325,13052.6821737233
"VERSPM_NVTA_J2",23187491.8745309,1620442.67649893,1527098.70259083,1521619.29322586,81357.610343122,107812.139130952,1212957.83741498,8440.55129926758,23.069743519447,33527.3774849594,4327.49739816001,48709.3652262836,266.37432041937,33.4988641057671,12123.0542762071,403001.675374228,52009.8506745771,651877.50604276,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_K2",18085208.2074407,1327422.02808557,1233372.33463885,1375718.98797828,72297.4424414054,97439.363953638,1208678.04840707,6919.32231447429,21.4195244830817,30328.4122780665,3883.05079538796,48523.3868596254,241.398601204104,30.057608190435,12080.2794056937,364553.342400867,46668.2807987409,649416.340669574,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_L2",23730011.1588102,1659080.98269172,1556610.96913024,1477089.36497734,78954.6159694043,104489.742471032,1162609.56308792,8501.68329186183,23.0635355778113,32548.1551549598,4196.52518068873,46687.3870460169,258.597326123409,32.484991133363,11619.8423396066,391231.369965557,50435.7662245222,624817.599243888,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_L3",23346469.4629801,1707340.97033543,1566873.39136797,1966123.89889799,104476.469948633,138293.650426879,1545846.90842126,8985.89564019466,23.8449206435821,43300.2975417543,5553.59965100496,62103.6865646963,343.750998744132,42.9906118394189,15450.154486356,520470.806600172,66745.7150508835,831081.901664897,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_M2",23855138.0980078,1680559.6984999,1571211.33045938,1550481.58746886,82849.4979968698,109705.843773614,1217012.48834499,8656.036610904,23.2660362946147,34161.4625888717,4404.93524478709,48876.3251837396,271.358949765593,34.098397046791,12163.5789768844,410623.007316452,52940.5349982865,654103.790365356,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_M3",23443788.5276377,1649218.27001086,1550433.11016744,1519413.02572003,81629.6325291599,107817.525814201,1196069.09663376,8427.49107170004,23.0375386078105,33479.655772749,4333.84636962147,48030.5424703506,266.00422420601,33.5479886726697,11954.2577073305,402428.128199174,52086.1553511987,642794.026901281,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_N2",23257024.940606,1629345.08968311,1534199.21819371,1541477.25894178,82419.3717469862,109219.146634178,1212957.83741498,8330.68707489543,22.9685558044498,33965.7728773953,4383.97971385223,48707.4724425014,269.885012800007,33.9360426417491,12123.0542762071,408271.440475306,52688.6807035805,651855.901198481,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_O2",23482141.3942715,1642829.30184493,1547474.69408865,1541477.25894178,82419.3717469862,109219.146634178,1212957.83741498,8438.32995127913,23.067732273002,33964.9444834456,4383.97372993519,48709.3257038852,269.851326608157,33.9360426417491,12123.0542762071,408261.268913257,52688.6091533053,651877.054921364,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_P2",23049337.9653903,1635597.46655219,1537789.5153687,1541477.25894178,82419.3717469862,109219.146634178,1212957.83741498,8254.7822975563,38.7982362711161,33966.2588119348,4383.983187227,48706.5041226136,269.904349952333,33.9360426417491,12123.0542762071,408277.403750561,52688.7222350589,651844.848483117,20226.1588556206,0,1107.72489810653,0,7121.45172111734,0,231547.799248469,56330.5358166514,13052.6821737233
"VERSPM_NVTA_C01",18085208.2074407,1327422.02808557,1233372.33463885,1375718.98797828,72297.4424414054,97439.363953638,1208678.04840707,6919.32231447429,21.4195244830817,30328.4122780665,3883.05079538796,0,241.398601204104,30.057608190435,24160.5588113874,269917.674050952,34551.7675167364,191109.520470306,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_C02",23403598.7384001,1722593.86577594,1571258.5933031,1967137.43697205,104886.711550039,137859.276966567,1545711.38489616,8972.01765571576,23.8356474364127,43322.6449834138,5553.04804752916,62097.8209724436,343.931259512231,42.9863384824769,15448.7999800412,520739.44601237,66739.0855998421,831004.23578706,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_C03",23451825.3789484,1743901.90200414,1558639.15658443,1515155.12332899,87920.8251174946,107713.094253448,1206452.28952208,8600.21542436363,23.2047717412886,33384.0908692732,4475.36577277905,48450.8647855866,265.200334811734,34.6435627139421,12058.0337884627,401279.077979241,53787.0011655703,648412.587964877,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_C04",17708351.639688,1312220.53722324,1217870.2360384,1362203.60380452,71587.175506141,96482.0969180086,1208678.04840707,6824.31735334619,36.1000377782248,30031.636658108,3844.9103804389,48523.5578963848,239.065383523858,29.7623152377403,12080.2794056937,360986.271269637,46209.8913789606,649418.292938284,20226.1588556206,0,1107.72489810653,0,7121.45172111734,0,231547.799248469,56330.5358166514,13052.6821737233
"VERSPM_NVTA_C05",23782571.8674411,1848973.14841402,1618315.05245288,1959184.7828695,112649.930560174,138048.712058981,1537245.64854519,9112.34546562675,23.9229661591298,43147.2280556372,5734.96844159232,61761.7374387376,342.51205654254,44.394623262692,15364.1881509197,518630.71919251,68925.4888302628,826498.792169503,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA_C06",23520089.7886771,1646184.58968093,1545013.56472361,1477089.36497734,78954.6159694043,104489.742471032,1162609.56308792,8400.59871407327,22.9708282347716,32548.8916765731,4196.53051175184,46685.7297257499,258.627363324707,32.484991133363,11619.8423396066,289676.039484411,37341.1473548685,624798.682056078,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
"VERSPM_NVTA",23487973.1018843,1643023.87187792,1547903.70341745,1541477.25894178,82419.3717469862,109219.146634178,1212957.83741498,8440.91576211239,23.0700734850467,33964.9254543833,4383.97359141412,48709.3717110797,269.850540503723,33.9360426417491,12123.0542762071,408261.035164733,52688.6074969955,651877.580062313,11944.6951927701,0,1107.72489810653,0,7121.45172111734,0,136742.122136112,56330.5358166514,13052.6821737233
