"Azone","Bzone","Czone","Marea"
"Fairfax",1917,NA,"NVTA"
"Fairfax",1756,NA,"NVTA"
"Fairfax",1827,NA,"NVTA"
"Fairfax",1858,NA,"NVTA"
"Fairfax",1941,NA,"NVTA"
"Fairfax",1929,NA,"NVTA"
"Fairfax",1931,NA,"NVTA"
"Fairfax",1932,NA,"NVTA"
"Fairfax",1963,NA,"NVTA"
"Fairfax",1966.02,NA,"NVTA"
"Fairfax",1967,NA,"NVTA"
"Fairfax",1819,NA,"NVTA"
"Fairfax",1936,NA,"NVTA"
"Falls Church",1937,NA,"NVTA"
"Falls Church",1939,NA,"NVTA"
"Falls Church",1940,NA,"NVTA"
"Falls Church",1920,NA,"NVTA"
"Fairfax",1922,NA,"NVTA"
"Falls Church",1928,NA,"NVTA"
"Falls Church",1938,NA,"NVTA"
"Falls Church",1933,NA,"NVTA"
"Falls Church",1934,NA,"NVTA"
"Fairfax",1935,NA,"NVTA"
"Fairfax",1869.01,NA,"NVTA"
"Fairfax",1861,NA,"NVTA"
"Fairfax",1885,NA,"NVTA"
"Fairfax",1866.03,NA,"NVTA"
"Falls Church",1927,NA,"NVTA"
"Fairfax",1884,NA,"NVTA"
"Fairfax",1876,NA,"NVTA"
"Fairfax",1918,NA,"NVTA"
"Fairfax",1919,NA,"NVTA"
"Fairfax",1915,NA,"NVTA"
"Fairfax",1916,NA,"NVTA"
"Fairfax",1880,NA,"NVTA"
"Fairfax",1900,NA,"NVTA"
"Fairfax",1879,NA,"NVTA"
"Fairfax",1848.01,NA,"NVTA"
"Fairfax",1804,NA,"NVTA"
"Fairfax",1805,NA,"NVTA"
"Fairfax",1810,NA,"NVTA"
"Fairfax",1969.02,NA,"NVTA"
"Fairfax",1817.01,NA,"NVTA"
"Fairfax",1816,NA,"NVTA"
"Fairfax",1968.01,NA,"NVTA"
"Fairfax",1818,NA,"NVTA"
"Fairfax",1823,NA,"NVTA"
"Fairfax",1822,NA,"NVTA"
"Fairfax",1821,NA,"NVTA"
"Fairfax",1820,NA,"NVTA"
"Fairfax",1851.02,NA,"NVTA"
"Fairfax",1836,NA,"NVTA"
"Fairfax",1847.01,NA,"NVTA"
"Fairfax",1813,NA,"NVTA"
"Fairfax",1814.02,NA,"NVTA"
"Fairfax",1970,NA,"NVTA"
"Fairfax",1857,NA,"NVTA"
"Fairfax",1845.02,NA,"NVTA"
"Fairfax",1842.01,NA,"NVTA"
"Fairfax",1871,NA,"NVTA"
"Fairfax",1855,NA,"NVTA"
"Fairfax",1844,NA,"NVTA"
"Fairfax",1849.02,NA,"NVTA"
"Fairfax",1832.02,NA,"NVTA"
"Fairfax",1889,NA,"NVTA"
"Fairfax",1888,NA,"NVTA"
"Fairfax",1788,NA,"NVTA"
"Fairfax",1641,NA,"NVTA"
"Fairfax",1850,NA,"NVTA"
"Fairfax",1790,NA,"NVTA"
"Fairfax",1639.02,NA,"NVTA"
"Fairfax",1640,NA,"NVTA"
"Fairfax City",1785,NA,"NVTA"
"Fairfax",1789,NA,"NVTA"
"Fairfax",1802,NA,"NVTA"
"Fairfax City",1792,NA,"NVTA"
"Fairfax City",1793.01,NA,"NVTA"
"Fairfax City",1801,NA,"NVTA"
"Fairfax",1856,NA,"NVTA"
"Fairfax",1859,NA,"NVTA"
"Fairfax",1828,NA,"NVTA"
"Fairfax",1891,NA,"NVTA"
"Fairfax",1702,NA,"NVTA"
"Fairfax",1874,NA,"NVTA"
"Fairfax",1830,NA,"NVTA"
"Fairfax",1712,NA,"NVTA"
"Fairfax",1720,NA,"NVTA"
"Fairfax",1890,NA,"NVTA"
"Fairfax",1894,NA,"NVTA"
"Fairfax",1878,NA,"NVTA"
"Fairfax",1881,NA,"NVTA"
"Fairfax",1649,NA,"NVTA"
"Fairfax",1707,NA,"NVTA"
"Fairfax",1701,NA,"NVTA"
"Fairfax",1648,NA,"NVTA"
"Fairfax",1654.01,NA,"NVTA"
"Fairfax",1740,NA,"NVTA"
"Fairfax",1860,NA,"NVTA"
"Fairfax",1838.01,NA,"NVTA"
"Fairfax",1695,NA,"NVTA"
"Fairfax",1666,NA,"NVTA"
"Fairfax",1672.01,NA,"NVTA"
"Fairfax",1644,NA,"NVTA"
"Fairfax",1647.01,NA,"NVTA"
"Fairfax",1646,NA,"NVTA"
"Fairfax",1686,NA,"NVTA"
"Fairfax",1652.02,NA,"NVTA"
"Fairfax",1645,NA,"NVTA"
"Fairfax",1783,NA,"NVTA"
"Fairfax",1643,NA,"NVTA"
"Fairfax",1765,NA,"NVTA"
"Fairfax",1679,NA,"NVTA"
"Fairfax",1685,NA,"NVTA"
"Fairfax",1659,NA,"NVTA"
"Fairfax",1663,NA,"NVTA"
"Fairfax",1664,NA,"NVTA"
"Fairfax",1677,NA,"NVTA"
"Fairfax",1758,NA,"NVTA"
"Fairfax",1674,NA,"NVTA"
"Fairfax",1680,NA,"NVTA"
"Fairfax",1721,NA,"NVTA"
"Fairfax",1774,NA,"NVTA"
"Fairfax",1730.02,NA,"NVTA"
"Fairfax",1728.02,NA,"NVTA"
"Fairfax",1787,NA,"NVTA"
"Fairfax",1736,NA,"NVTA"
"Fairfax",1706,NA,"NVTA"
"Fairfax",1704.02,NA,"NVTA"
"Fairfax",1703,NA,"NVTA"
"Fairfax",1759,NA,"NVTA"
"Fairfax",1745,NA,"NVTA"
"Fairfax",1761,NA,"NVTA"
"Fairfax",1747,NA,"NVTA"
"Fairfax",1723,NA,"NVTA"
"Fairfax",1714,NA,"NVTA"
"Fairfax",1718,NA,"NVTA"
"Fairfax",1732,NA,"NVTA"
"Fairfax",1700,NA,"NVTA"
"Fairfax",1826,NA,"NVTA"
"Fairfax",1893,NA,"NVTA"
"Fairfax",1742.01,NA,"NVTA"
"Fairfax",1658,NA,"NVTA"
"Fairfax",1678,NA,"NVTA"
"Fairfax",1748,NA,"NVTA"
"Fairfax",1795,NA,"NVTA"
"Fairfax",1716,NA,"NVTA"
"Fairfax",1757,NA,"NVTA"
"Fairfax",1737,NA,"NVTA"
"Fairfax",1760,NA,"NVTA"
"Fairfax",1711,NA,"NVTA"
"Fairfax",1767,NA,"NVTA"
"Fairfax",1743,NA,"NVTA"
"Fairfax",1681,NA,"NVTA"
"Fairfax",1665.01,NA,"NVTA"
"Fairfax",1667,NA,"NVTA"
"Fairfax",1669,NA,"NVTA"
"Fairfax",1713,NA,"NVTA"
"Fairfax",1764,NA,"NVTA"
"Fairfax",1782,NA,"NVTA"
"Fairfax",1781,NA,"NVTA"
"Fairfax",1766,NA,"NVTA"
"Fairfax",1642,NA,"NVTA"
"Fairfax",1671,NA,"NVTA"
"Fairfax",1662.02,NA,"NVTA"
"Fairfax",1673.01,NA,"NVTA"
"Fairfax",1780,NA,"NVTA"
"Fairfax",1779,NA,"NVTA"
"Fairfax",1775,NA,"NVTA"
"Fairfax",1778,NA,"NVTA"
"Fairfax",1724,NA,"NVTA"
"Fairfax",1717,NA,"NVTA"
"Fairfax",1719,NA,"NVTA"
"Fairfax",1899,NA,"NVTA"
"Fairfax",1898,NA,"NVTA"
"Fairfax",1896,NA,"NVTA"
"Fairfax",1897,NA,"NVTA"
"Fairfax",1886,NA,"NVTA"
"Fairfax",1887,NA,"NVTA"
"Fairfax",1651,NA,"NVTA"
"Fairfax",1901.02,NA,"NVTA"
"Fairfax",1904,NA,"NVTA"
"Fairfax",1906.01,NA,"NVTA"
"Fairfax",1912,NA,"NVTA"
"Fairfax",1910,NA,"NVTA"
"Fairfax",1909,NA,"NVTA"
"Fairfax",1944.02,NA,"NVTA"
"Fairfax",1945.02,NA,"NVTA"
"Fairfax",1946,NA,"NVTA"
"Fairfax",1943.03,NA,"NVTA"
"Fairfax",1942,NA,"NVTA"
"Fairfax",1953,NA,"NVTA"
"Fairfax",1908,NA,"NVTA"
"Fairfax",1955,NA,"NVTA"
"Fairfax",1994,NA,"NVTA"
"Fairfax",1958,NA,"NVTA"
"Fairfax",1957,NA,"NVTA"
"Fairfax",1956,NA,"NVTA"
"Fairfax",1998,NA,"NVTA"
"Fairfax City",1798.03,NA,"NVTA"
"Fairfax City",1800.03,NA,"NVTA"
"Fairfax",1965,NA,"NVTA"
"Fairfax",1811,NA,"NVTA"
"Fairfax",1974,NA,"NVTA"
"Fairfax",1960,NA,"NVTA"
"Fairfax",1972.04,NA,"NVTA"
"Fairfax",1971,NA,"NVTA"
"Fairfax",1964,NA,"NVTA"
"Fairfax",1961,NA,"NVTA"
"Fairfax",1962,NA,"NVTA"
"Fairfax",1954,NA,"NVTA"
"Fairfax",1959,NA,"NVTA"
"Fairfax",1976,NA,"NVTA"
"Fairfax",1975,NA,"NVTA"
"Fairfax",1824,NA,"NVTA"
"Fairfax",1895,NA,"NVTA"
"Fairfax",1825,NA,"NVTA"
"Fairfax",1794,NA,"NVTA"
"Fairfax",1708,NA,"NVTA"
"Fairfax",1715,NA,"NVTA"
"Fairfax",1731.02,NA,"NVTA"
"Fairfax",1854.02,NA,"NVTA"
"Fairfax",1768,NA,"NVTA"
"Fairfax",1776,NA,"NVTA"
"Fairfax",1777,NA,"NVTA"
"Fairfax",1751,NA,"NVTA"
"Fairfax",1755,NA,"NVTA"
"Fairfax",1752.01,NA,"NVTA"
"Fairfax",1675.01,NA,"NVTA"
"Fairfax",1762,NA,"NVTA"
"Fairfax",1668,NA,"NVTA"
"Fairfax",1638.01,NA,"NVTA"
"Fairfax",1863,NA,"NVTA"
"Fairfax",1692,NA,"NVTA"
"Fairfax",2003,NA,"NVTA"
"Fairfax",1948,NA,"NVTA"
"Fairfax",1949,NA,"NVTA"
"Fairfax",1902,NA,"NVTA"
"Fairfax",1710,NA,"NVTA"
"Fairfax",1709,NA,"NVTA"
"Fairfax",1733,NA,"NVTA"
"Fairfax",1735,NA,"NVTA"
"Fairfax",1753.02,NA,"NVTA"
"Fairfax",1754.02,NA,"NVTA"
"Fairfax",1676.02,NA,"NVTA"
"Fairfax",1771,NA,"NVTA"
"Fairfax",1769,NA,"NVTA"
"Fairfax",1772,NA,"NVTA"
"Fairfax",1853.01,NA,"NVTA"
"Fairfax",1852.02,NA,"NVTA"
"Fairfax",1684,NA,"NVTA"
"Fairfax",1683,NA,"NVTA"
"Fairfax",1682.01,NA,"NVTA"
"Fairfax",1689.02,NA,"NVTA"
"Fairfax",1690.01,NA,"NVTA"
"Fairfax",1691,NA,"NVTA"
"Fairfax",1612,NA,"NVTA"
"Fairfax",1688.02,NA,"NVTA"
"Fairfax",1687,NA,"NVTA"
"Fairfax",1694,NA,"NVTA"
"Fairfax",1693,NA,"NVTA"
"Fairfax",1661,NA,"NVTA"
"Fairfax",1670,NA,"NVTA"
"Fairfax",1763,NA,"NVTA"
"Fairfax",1637,NA,"NVTA"
"Fairfax City",1634,NA,"NVTA"
"Fairfax City",1796.02,NA,"NVTA"
"Fairfax City",1797.02,NA,"NVTA"
"Fairfax",1734,NA,"NVTA"
"Fairfax",1739.03,NA,"NVTA"
"Fairfax",1738,NA,"NVTA"
"Fairfax",1913,NA,"NVTA"
"Fairfax",1914,NA,"NVTA"
"Fairfax",1947,NA,"NVTA"
"Fairfax",1905,NA,"NVTA"
"Fairfax",1907,NA,"NVTA"
"Fairfax",1951,NA,"NVTA"
"Fairfax",2001,NA,"NVTA"
"Fairfax",1997,NA,"NVTA"
"Fairfax",2002,NA,"NVTA"
"Fairfax",1983,NA,"NVTA"
"Fairfax",2007,NA,"NVTA"
"Fairfax",1995,NA,"NVTA"
"Fairfax",1992,NA,"NVTA"
"Fairfax",2154,NA,"NVTA"
"Fairfax",1990,NA,"NVTA"
"Fairfax",1982,NA,"NVTA"
"Fairfax",1996,NA,"NVTA"
"Fairfax",1981,NA,"NVTA"
"Fairfax",1985,NA,"NVTA"
"Fairfax",2060,NA,"NVTA"
"Fairfax",2065,NA,"NVTA"
"Fairfax",2064,NA,"NVTA"
"Fairfax",2066.02,NA,"NVTA"
"Fairfax",2044.01,NA,"NVTA"
"Fairfax",2076.02,NA,"NVTA"
"Fairfax",2075.02,NA,"NVTA"
"Fairfax",2057,NA,"NVTA"
"Fairfax",2050,NA,"NVTA"
"Fairfax",2045,NA,"NVTA"
"Fairfax",2110,NA,"NVTA"
"Fairfax",2114.02,NA,"NVTA"
"Fairfax",2043,NA,"NVTA"
"Fairfax",2042,NA,"NVTA"
"Fairfax",2037,NA,"NVTA"
"Fairfax",2008,NA,"NVTA"
"Fairfax",2009,NA,"NVTA"
"Fairfax",2041,NA,"NVTA"
"Fairfax",2034,NA,"NVTA"
"Fairfax",2052,NA,"NVTA"
"Fairfax",2054,NA,"NVTA"
"Fairfax",2053,NA,"NVTA"
"Fairfax",2039,NA,"NVTA"
"Fairfax",2108,NA,"NVTA"
"Fairfax",2036.01,NA,"NVTA"
"Fairfax",1987,NA,"NVTA"
"Fairfax",2022,NA,"NVTA"
"Fairfax",2010,NA,"NVTA"
"Fairfax",2030,NA,"NVTA"
"Fairfax",2011,NA,"NVTA"
"Fairfax",1986,NA,"NVTA"
"Fairfax",2014,NA,"NVTA"
"Fairfax",1978,NA,"NVTA"
"Fairfax",1979,NA,"NVTA"
"Fairfax",1984,NA,"NVTA"
"Fairfax City",1630.01,NA,"NVTA"
"Fairfax City",1799,NA,"NVTA"
"Fairfax",2124,NA,"NVTA"
"Fairfax",2025.01,NA,"NVTA"
"Fairfax",2024,NA,"NVTA"
"Fairfax",2082,NA,"NVTA"
"Fairfax",2083,NA,"NVTA"
"Fairfax",2085.02,NA,"NVTA"
"Fairfax",2079.02,NA,"NVTA"
"Fairfax",2086.02,NA,"NVTA"
"Fairfax",2087,NA,"NVTA"
"Fairfax",2088,NA,"NVTA"
"Fairfax",2078,NA,"NVTA"
"Fairfax",2068,NA,"NVTA"
"Fairfax",2067,NA,"NVTA"
"Fairfax",1989.01,NA,"NVTA"
"Fairfax",2091,NA,"NVTA"
"Fairfax",2089.01,NA,"NVTA"
"Fairfax",2120,NA,"NVTA"
"Fairfax",2121,NA,"NVTA"
"Fairfax",2123,NA,"NVTA"
"Fairfax",2116.01,NA,"NVTA"
"Fairfax",2035,NA,"NVTA"
"Fairfax",2107,NA,"NVTA"
"Fairfax",2097,NA,"NVTA"
"Fairfax",2122,NA,"NVTA"
"Fairfax",2029,NA,"NVTA"
"Fairfax",2026,NA,"NVTA"
"Fairfax",2028,NA,"NVTA"
"Fairfax",2150,NA,"NVTA"
"Fairfax",2133,NA,"NVTA"
"Fairfax",2142,NA,"NVTA"
"Fairfax",2145,NA,"NVTA"
"Fairfax",2147,NA,"NVTA"
"Fairfax",2143,NA,"NVTA"
"Fairfax City",1632.01,NA,"NVTA"
"Fairfax",2031,NA,"NVTA"
"Fairfax",2027,NA,"NVTA"
