Geo,Year,MixUseProp
1917,2019,NA
1756,2019,NA
1827,2019,NA
1858,2019,NA
1941,2019,NA
1929,2019,NA
1931,2019,NA
1932,2019,NA
1963,2019,NA
1966.02,2019,NA
1967,2019,NA
1819,2019,NA
1936,2019,NA
1937,2019,NA
1939,2019,NA
1940,2019,NA
1920,2019,NA
1922,2019,NA
1928,2019,NA
1938,2019,NA
1933,2019,NA
1934,2019,NA
1935,2019,NA
1869.01,2019,NA
1861,2019,NA
1885,2019,NA
1866.03,2019,NA
1927,2019,NA
1884,2019,NA
1876,2019,NA
1918,2019,NA
1919,2019,NA
1915,2019,NA
1916,2019,NA
1880,2019,NA
1900,2019,NA
1879,2019,NA
1848.01,2019,NA
1804,2019,NA
1805,2019,NA
1810,2019,NA
1969.02,2019,NA
1817.01,2019,NA
1816,2019,NA
1968.01,2019,NA
1818,2019,NA
1823,2019,NA
1822,2019,NA
1821,2019,NA
1820,2019,NA
1851.02,2019,NA
1836,2019,NA
1847.01,2019,NA
1813,2019,NA
1814.02,2019,NA
1970,2019,NA
1857,2019,NA
1845.02,2019,NA
1842.01,2019,NA
1871,2019,NA
1855,2019,NA
1844,2019,NA
1849.02,2019,NA
1832.02,2019,NA
1889,2019,NA
1888,2019,NA
1788,2019,NA
1641,2019,NA
1850,2019,NA
1790,2019,NA
1639.02,2019,NA
1640,2019,NA
1785,2019,NA
1789,2019,NA
1802,2019,NA
1792,2019,NA
1793.01,2019,NA
1801,2019,NA
1856,2019,NA
1859,2019,NA
1828,2019,NA
1891,2019,NA
1702,2019,NA
1874,2019,NA
1830,2019,NA
1712,2019,NA
1720,2019,NA
1890,2019,NA
1894,2019,NA
1878,2019,NA
1881,2019,NA
1649,2019,NA
1707,2019,NA
1701,2019,NA
1648,2019,NA
1654.01,2019,NA
1740,2019,NA
1860,2019,NA
1838.01,2019,NA
1695,2019,NA
1666,2019,NA
1672.01,2019,NA
1644,2019,NA
1647.01,2019,NA
1646,2019,NA
1686,2019,NA
1652.02,2019,NA
1645,2019,NA
1783,2019,NA
1643,2019,NA
1765,2019,NA
1679,2019,NA
1685,2019,NA
1659,2019,NA
1663,2019,NA
1664,2019,NA
1677,2019,NA
1758,2019,NA
1674,2019,NA
1680,2019,NA
1721,2019,NA
1774,2019,NA
1730.02,2019,NA
1728.02,2019,NA
1787,2019,NA
1736,2019,NA
1706,2019,NA
1704.02,2019,NA
1703,2019,NA
1759,2019,NA
1745,2019,NA
1761,2019,NA
1747,2019,NA
1723,2019,NA
1714,2019,NA
1718,2019,NA
1732,2019,NA
1700,2019,NA
1826,2019,NA
1893,2019,NA
1742.01,2019,NA
1658,2019,NA
1678,2019,NA
1748,2019,NA
1795,2019,NA
1716,2019,NA
1757,2019,NA
1737,2019,NA
1760,2019,NA
1711,2019,NA
1767,2019,NA
1743,2019,NA
1681,2019,NA
1665.01,2019,NA
1667,2019,NA
1669,2019,NA
1713,2019,NA
1764,2019,NA
1782,2019,NA
1781,2019,NA
1766,2019,NA
1642,2019,NA
1671,2019,NA
1662.02,2019,NA
1673.01,2019,NA
1780,2019,NA
1779,2019,NA
1775,2019,NA
1778,2019,NA
1724,2019,NA
1717,2019,NA
1719,2019,NA
1899,2019,NA
1898,2019,NA
1896,2019,NA
1897,2019,NA
1886,2019,NA
1887,2019,NA
1651,2019,NA
1901.02,2019,NA
1904,2019,NA
1906.01,2019,NA
1912,2019,NA
1910,2019,NA
1909,2019,NA
1944.02,2019,NA
1945.02,2019,NA
1946,2019,NA
1943.03,2019,NA
1942,2019,NA
1953,2019,NA
1908,2019,NA
1955,2019,NA
1994,2019,NA
1958,2019,NA
1957,2019,NA
1956,2019,NA
1998,2019,NA
1798.03,2019,NA
1800.03,2019,NA
1965,2019,NA
1811,2019,NA
1974,2019,NA
1960,2019,NA
1972.04,2019,NA
1971,2019,NA
1964,2019,NA
1961,2019,NA
1962,2019,NA
1954,2019,NA
1959,2019,NA
1976,2019,NA
1975,2019,NA
1824,2019,NA
1895,2019,NA
1825,2019,NA
1794,2019,NA
1708,2019,NA
1715,2019,NA
1731.02,2019,NA
1854.02,2019,NA
1768,2019,NA
1776,2019,NA
1777,2019,NA
1751,2019,NA
1755,2019,NA
1752.01,2019,NA
1675.01,2019,NA
1762,2019,NA
1668,2019,NA
1638.01,2019,NA
1863,2019,NA
1692,2019,NA
2003,2019,NA
1948,2019,NA
1949,2019,NA
1902,2019,NA
1710,2019,NA
1709,2019,NA
1733,2019,NA
1735,2019,NA
1753.02,2019,NA
1754.02,2019,NA
1676.02,2019,NA
1771,2019,NA
1769,2019,NA
1772,2019,NA
1853.01,2019,NA
1852.02,2019,NA
1684,2019,NA
1683,2019,NA
1682.01,2019,NA
1689.02,2019,NA
1690.01,2019,NA
1691,2019,NA
1612,2019,NA
1688.02,2019,NA
1687,2019,NA
1694,2019,NA
1693,2019,NA
1661,2019,NA
1670,2019,NA
1763,2019,NA
1637,2019,NA
1634,2019,NA
1796.02,2019,NA
1797.02,2019,NA
1734,2019,NA
1739.03,2019,NA
1738,2019,NA
1913,2019,NA
1914,2019,NA
1947,2019,NA
1905,2019,NA
1907,2019,NA
1951,2019,NA
2001,2019,NA
1997,2019,NA
2002,2019,NA
1983,2019,NA
2007,2019,NA
1995,2019,NA
1992,2019,NA
2154,2019,NA
1990,2019,NA
1982,2019,NA
1996,2019,NA
1981,2019,NA
1985,2019,NA
2060,2019,NA
2065,2019,NA
2064,2019,NA
2066.02,2019,NA
2044.01,2019,NA
2076.02,2019,NA
2075.02,2019,NA
2057,2019,NA
2050,2019,NA
2045,2019,NA
2110,2019,NA
2114.02,2019,NA
2043,2019,NA
2042,2019,NA
2037,2019,NA
2008,2019,NA
2009,2019,NA
2041,2019,NA
2034,2019,NA
2052,2019,NA
2054,2019,NA
2053,2019,NA
2039,2019,NA
2108,2019,NA
2036.01,2019,NA
1987,2019,NA
2022,2019,NA
2010,2019,NA
2030,2019,NA
2011,2019,NA
1986,2019,NA
2014,2019,NA
1978,2019,NA
1979,2019,NA
1984,2019,NA
1630.01,2019,NA
1799,2019,NA
2124,2019,NA
2025.01,2019,NA
2024,2019,NA
2082,2019,NA
2083,2019,NA
2085.02,2019,NA
2079.02,2019,NA
2086.02,2019,NA
2087,2019,NA
2088,2019,NA
2078,2019,NA
2068,2019,NA
2067,2019,NA
1989.01,2019,NA
2091,2019,NA
2089.01,2019,NA
2120,2019,NA
2121,2019,NA
2123,2019,NA
2116.01,2019,NA
2035,2019,NA
2107,2019,NA
2097,2019,NA
2122,2019,NA
2029,2019,NA
2026,2019,NA
2028,2019,NA
2150,2019,NA
2133,2019,NA
2142,2019,NA
2145,2019,NA
2147,2019,NA
2143,2019,NA
1632.01,2019,NA
2031,2019,NA
2027,2019,NA
2018.02,2019,NA
1636,2019,NA
1633,2019,NA
2094,2019,NA
2099.02,2019,NA
2106,2019,NA
2098,2019,NA
2105,2019,NA
2104,2019,NA
1623,2019,NA
2128,2019,NA
1622,2019,NA
1614,2019,NA
1617,2019,NA
2080.04,2019,NA
1988,2019,NA
2081,2019,NA
2084,2019,NA
2046,2019,NA
2100,2019,NA
2004,2019,NA
2132,2019,NA
2006.01,2019,NA
2013.01,2019,NA
2058,2019,NA
2056,2019,NA
2005,2019,NA
1697,2019,NA
2012.01,2019,NA
2019,2019,NA
1699,2019,NA
1653,2019,NA
1993,2019,NA
1952,2019,NA
2000,2019,NA
1999,2019,NA
2119,2019,NA
2118,2019,NA
2074.02,2019,NA
2059,2019,NA
2049,2019,NA
2047.01,2019,NA
2048,2019,NA
2032,2019,NA
2015,2019,NA
2016,2019,NA
2017,2019,NA
2138,2019,NA
2125,2019,NA
2126,2019,NA
2135,2019,NA
2134,2019,NA
1977,2019,NA
1629,2019,NA
1635,2019,NA
1628.01,2019,NA
1631,2019,NA
1627,2019,NA
2144,2019,NA
2146,2019,NA
2148,2019,NA
2141,2019,NA
2149,2019,NA
1626,2019,NA
1624,2019,NA
2129,2019,NA
2130,2019,NA
2095,2019,NA
2156,2019,NA
2155,2019,NA
2153,2019,NA
2157,2019,NA
2131,2019,NA
2101,2019,NA
2109,2019,NA
2090,2019,NA
2113,2019,NA
1980,2019,NA
2137,2019,NA
2136,2019,NA
2096.01,2019,NA
2127,2019,NA
2159,2019,NA
2152,2019,NA
1615,2019,NA
1616,2019,NA
1625,2019,NA
1620,2019,NA
1621,2019,NA
1619,2019,NA
1618,2019,NA
1657,2019,NA
1656,2019,NA
1611,2019,NA
1613,2019,NA
1698,2019,NA
1696,2019,NA
1655,2019,NA
1660,2019,NA
1784,2019,NA
1786,2019,NA
1791,2019,NA
1803,2019,NA
1806,2019,NA
1809,2019,NA
1808,2019,NA
1807,2019,NA
1815,2019,NA
1930,2019,NA
1925,2019,NA
1926,2019,NA
1921,2019,NA
1923,2019,NA
1924,2019,NA
1862,2019,NA
1875,2019,NA
1873,2019,NA
1877,2019,NA
1872,2019,NA
1883,2019,NA
1882,2019,NA
1867.01,2019,NA
1843.02,2019,NA
1841.03,2019,NA
1840,2019,NA
1846.01,2019,NA
1839,2019,NA
2117.01,2019,NA
2092,2019,NA
2093,2019,NA
2102,2019,NA
2111.02,2019,NA
2077,2019,NA
2069.01,2019,NA
2073.03,2019,NA
2072,2019,NA
2070,2019,NA
2112.01,2019,NA
2038,2019,NA
2033,2019,NA
2040,2019,NA
2051,2019,NA
2055,2019,NA
1831,2019,NA
1834,2019,NA
1835,2019,NA
1837,2019,NA
1868.02,2019,NA
1870,2019,NA
1864,2019,NA
1829,2019,NA
1892,2019,NA
1722,2019,NA
1725.02,2019,NA
1773,2019,NA
1726.01,2019,NA
1770.01,2019,NA
1727,2019,NA
1729.01,2019,NA
1741.03,2019,NA
1744.01,2019,NA
1750.01,2019,NA
1746,2019,NA
1749,2019,NA
1705,2019,NA
2023,2019,NA
2020,2019,NA
2021,2019,NA
2140,2019,NA
2139,2019,NA
2151,2019,NA
2071,2019,NA
1950,2019,NA
1911,2019,NA
1991,2019,NA
2158,2019,NA
1903,2019,NA
2062.03,2019,NA
2063.01,2019,NA
2061.02,2019,NA
2103,2019,NA
2075.01,2019,NA
2076.01,2019,NA
2074.01,2019,NA
2080.03,2019,NA
2080.02,2019,NA
2080.01,2019,NA
2085.01,2019,NA
2086.03,2019,NA
2086.01,2019,NA
2079.01,2019,NA
2069.02,2019,NA
2073.02,2019,NA
2073.01,2019,NA
2044.02,2019,NA
2062.02,2019,NA
2062.01,2019,NA
2047.02,2019,NA
2066.01,2019,NA
2063.02,2019,NA
2061.01,2019,NA
1676.01,2019,NA
1754.03,2019,NA
1754.01,2019,NA
1753.03,2019,NA
1752.02,2019,NA
1675.02,2019,NA
1673.03,2019,NA
1673.02,2019,NA
1672.02,2019,NA
1662.01,2019,NA
1662.03,2019,NA
1689.01,2019,NA
1689.03,2019,NA
1688.01,2019,NA
1690.02,2019,NA
1682.02,2019,NA
1750.02,2019,NA
1865.04,2019,NA
1865.03,2019,NA
1865.01,2019,NA
1865.02,2019,NA
1867.02,2019,NA
1866.01,2019,NA
1866.02,2019,NA
1843.01,2019,NA
1853.02,2019,NA
1854.01,2019,NA
1851.01,2019,NA
1852.01,2019,NA
1849.01,2019,NA
1848.02,2019,NA
1832.01,2019,NA
1832.03,2019,NA
1847.02,2019,NA
1833.02,2019,NA
1845.01,2019,NA
1845.03,2019,NA
1842.02,2019,NA
1841.04,2019,NA
1841.02,2019,NA
1841.01,2019,NA
1838.02,2019,NA
1869.02,2019,NA
1770.02,2019,NA
1726.02,2019,NA
1725.01,2019,NA
1728.01,2019,NA
1730.01,2019,NA
1729.02,2019,NA
1742.02,2019,NA
1731.01,2019,NA
1739.01,2019,NA
1741.01,2019,NA
1731.03,2019,NA
1744.02,2019,NA
1750.03,2019,NA
1638.02,2019,NA
1639.01,2019,NA
1652.01,2019,NA
1654.02,2019,NA
1665.02,2019,NA
1647.02,2019,NA
1650,2019,NA
2116.02,2019,NA
2117.02,2019,NA
2114.01,2019,NA
2115.01,2019,NA
2114.03,2019,NA
1966.01,2019,NA
1968.02,2019,NA
1817.02,2019,NA
1814.01,2019,NA
1972.01,2019,NA
1972.03,2019,NA
1972.02,2019,NA
2025.02,2019,NA
2025.03,2019,NA
1704.01,2019,NA
1753.01,2019,NA
1704.03,2019,NA
1817.03,2019,NA
2096.02,2019,NA
1943.01,2019,NA
1944.05,2019,NA
1944.03,2019,NA
1944.01,2019,NA
1846.02,2019,NA
2115.02,2019,NA
2076.03,2019,NA
1812,2019,NA
1969.01,2019,NA
1973.02,2019,NA
1868.01,2019,NA
1868.03,2019,NA
1973.01,2019,NA
1973.03,2019,NA
1973.04,2019,NA
2099.01,2019,NA
2111.01,2019,NA
2112.02,2019,NA
2112.03,2019,NA
2112.04,2019,NA
2112.05,2019,NA
2112.06,2019,NA
2089.02,2019,NA
2089.03,2019,NA
2089.04,2019,NA
2036.02,2019,NA
2036.03,2019,NA
1944.04,2019,NA
1944.06,2019,NA
1943.02,2019,NA
1901.03,2019,NA
1901.01,2019,NA
1906.02,2019,NA
1739.02,2019,NA
1741.02,2019,NA
1945.03,2019,NA
2013.02,2019,NA
1989.03,2019,NA
2018.01,2019,NA
2018.03,2019,NA
2012.02,2019,NA
1989.02,2019,NA
2006.02,2019,NA
1688.03,2019,NA
1676.03,2019,NA
1945.01,2019,NA
1833.01,2019,NA
1833.03,2019,NA
1796.01,2019,NA
1796.03,2019,NA
1797.01,2019,NA
1797.03,2019,NA
1632.02,2019,NA
1632.03,2019,NA
1632.04,2019,NA
1630.02,2019,NA
1800.01,2019,NA
1800.02,2019,NA
1800.06,2019,NA
1800.04,2019,NA
1800.05,2019,NA
1798.01,2019,NA
1798.02,2019,NA
1798.04,2019,NA
1793.02,2019,NA
1628.02,2019,NA
1628.03,2019,NA
1917,2045,NA
1756,2045,NA
1827,2045,NA
1858,2045,NA
1941,2045,NA
1929,2045,NA
1931,2045,NA
1932,2045,NA
1963,2045,NA
1966.02,2045,NA
1967,2045,NA
1819,2045,NA
1936,2045,NA
1937,2045,NA
1939,2045,NA
1940,2045,NA
1920,2045,NA
1922,2045,NA
1928,2045,NA
1938,2045,NA
1933,2045,NA
1934,2045,NA
1935,2045,NA
1869.01,2045,NA
1861,2045,NA
1885,2045,NA
1866.03,2045,NA
1927,2045,NA
1884,2045,NA
1876,2045,NA
1918,2045,NA
1919,2045,NA
1915,2045,NA
1916,2045,NA
1880,2045,NA
1900,2045,NA
1879,2045,NA
1848.01,2045,NA
1804,2045,NA
1805,2045,NA
1810,2045,NA
1969.02,2045,NA
1817.01,2045,NA
1816,2045,NA
1968.01,2045,NA
1818,2045,NA
1823,2045,NA
1822,2045,NA
1821,2045,NA
1820,2045,NA
1851.02,2045,NA
1836,2045,NA
1847.01,2045,NA
1813,2045,NA
1814.02,2045,NA
1970,2045,NA
1857,2045,NA
1845.02,2045,NA
1842.01,2045,NA
1871,2045,NA
1855,2045,NA
1844,2045,NA
1849.02,2045,NA
1832.02,2045,NA
1889,2045,NA
1888,2045,NA
1788,2045,NA
1641,2045,NA
1850,2045,NA
1790,2045,NA
1639.02,2045,NA
1640,2045,NA
1785,2045,NA
1789,2045,NA
1802,2045,NA
1792,2045,NA
1793.01,2045,NA
1801,2045,NA
1856,2045,NA
1859,2045,NA
1828,2045,NA
1891,2045,NA
1702,2045,NA
1874,2045,NA
1830,2045,NA
1712,2045,NA
1720,2045,NA
1890,2045,NA
1894,2045,NA
1878,2045,NA
1881,2045,NA
1649,2045,NA
1707,2045,NA
1701,2045,NA
1648,2045,NA
1654.01,2045,NA
1740,2045,NA
1860,2045,NA
1838.01,2045,NA
1695,2045,NA
1666,2045,NA
1672.01,2045,NA
1644,2045,NA
1647.01,2045,NA
1646,2045,NA
1686,2045,NA
1652.02,2045,NA
1645,2045,NA
1783,2045,NA
1643,2045,NA
1765,2045,NA
1679,2045,NA
1685,2045,NA
1659,2045,NA
1663,2045,NA
1664,2045,NA
1677,2045,NA
1758,2045,NA
1674,2045,NA
1680,2045,NA
1721,2045,NA
1774,2045,NA
1730.02,2045,NA
1728.02,2045,NA
1787,2045,NA
1736,2045,NA
1706,2045,NA
1704.02,2045,NA
1703,2045,NA
1759,2045,NA
1745,2045,NA
1761,2045,NA
1747,2045,NA
1723,2045,NA
1714,2045,NA
1718,2045,NA
1732,2045,NA
1700,2045,NA
1826,2045,NA
1893,2045,NA
1742.01,2045,NA
1658,2045,NA
1678,2045,NA
1748,2045,NA
1795,2045,NA
1716,2045,NA
1757,2045,NA
1737,2045,NA
1760,2045,NA
1711,2045,NA
1767,2045,NA
1743,2045,NA
1681,2045,NA
1665.01,2045,NA
1667,2045,NA
1669,2045,NA
1713,2045,NA
1764,2045,NA
1782,2045,NA
1781,2045,NA
1766,2045,NA
1642,2045,NA
1671,2045,NA
1662.02,2045,NA
1673.01,2045,NA
1780,2045,NA
1779,2045,NA
1775,2045,NA
1778,2045,NA
1724,2045,NA
1717,2045,NA
1719,2045,NA
1899,2045,NA
1898,2045,NA
1896,2045,NA
1897,2045,NA
1886,2045,NA
1887,2045,NA
1651,2045,NA
1901.02,2045,NA
1904,2045,NA
1906.01,2045,NA
1912,2045,NA
1910,2045,NA
1909,2045,NA
1944.02,2045,NA
1945.02,2045,NA
1946,2045,NA
1943.03,2045,NA
1942,2045,NA
1953,2045,NA
1908,2045,NA
1955,2045,NA
1994,2045,NA
1958,2045,NA
1957,2045,NA
1956,2045,NA
1998,2045,NA
1798.03,2045,NA
1800.03,2045,NA
1965,2045,NA
1811,2045,NA
1974,2045,NA
1960,2045,NA
1972.04,2045,NA
1971,2045,NA
1964,2045,NA
1961,2045,NA
1962,2045,NA
1954,2045,NA
1959,2045,NA
1976,2045,NA
1975,2045,NA
1824,2045,NA
1895,2045,NA
1825,2045,NA
1794,2045,NA
1708,2045,NA
1715,2045,NA
1731.02,2045,NA
1854.02,2045,NA
1768,2045,NA
1776,2045,NA
1777,2045,NA
1751,2045,NA
1755,2045,NA
1752.01,2045,NA
1675.01,2045,NA
1762,2045,NA
1668,2045,NA
1638.01,2045,NA
1863,2045,NA
1692,2045,NA
2003,2045,NA
1948,2045,NA
1949,2045,NA
1902,2045,NA
1710,2045,NA
1709,2045,NA
1733,2045,NA
1735,2045,NA
1753.02,2045,NA
1754.02,2045,NA
1676.02,2045,NA
1771,2045,NA
1769,2045,NA
1772,2045,NA
1853.01,2045,NA
1852.02,2045,NA
1684,2045,NA
1683,2045,NA
1682.01,2045,NA
1689.02,2045,NA
1690.01,2045,NA
1691,2045,NA
1612,2045,NA
1688.02,2045,NA
1687,2045,NA
1694,2045,NA
1693,2045,NA
1661,2045,NA
1670,2045,NA
1763,2045,NA
1637,2045,NA
1634,2045,NA
1796.02,2045,NA
1797.02,2045,NA
1734,2045,NA
1739.03,2045,NA
1738,2045,NA
1913,2045,NA
1914,2045,NA
1947,2045,NA
1905,2045,NA
1907,2045,NA
1951,2045,NA
2001,2045,NA
1997,2045,NA
2002,2045,NA
1983,2045,NA
2007,2045,NA
1995,2045,NA
1992,2045,NA
2154,2045,NA
1990,2045,NA
1982,2045,NA
1996,2045,NA
1981,2045,NA
1985,2045,NA
2060,2045,NA
2065,2045,NA
2064,2045,NA
2066.02,2045,NA
2044.01,2045,NA
2076.02,2045,NA
2075.02,2045,NA
2057,2045,NA
2050,2045,NA
2045,2045,NA
2110,2045,NA
2114.02,2045,NA
2043,2045,NA
2042,2045,NA
2037,2045,NA
2008,2045,NA
2009,2045,NA
2041,2045,NA
2034,2045,NA
2052,2045,NA
2054,2045,NA
2053,2045,NA
2039,2045,NA
2108,2045,NA
2036.01,2045,NA
1987,2045,NA
2022,2045,NA
2010,2045,NA
2030,2045,NA
2011,2045,NA
1986,2045,NA
2014,2045,NA
1978,2045,NA
1979,2045,NA
1984,2045,NA
1630.01,2045,NA
1799,2045,NA
2124,2045,NA
2025.01,2045,NA
2024,2045,NA
2082,2045,NA
2083,2045,NA
2085.02,2045,NA
2079.02,2045,NA
2086.02,2045,NA
2087,2045,NA
2088,2045,NA
2078,2045,NA
2068,2045,NA
2067,2045,NA
1989.01,2045,NA
2091,2045,NA
2089.01,2045,NA
2120,2045,NA
2121,2045,NA
2123,2045,NA
2116.01,2045,NA
2035,2045,NA
2107,2045,NA
2097,2045,NA
2122,2045,NA
2029,2045,NA
2026,2045,NA
2028,2045,NA
2150,2045,NA
2133,2045,NA
2142,2045,NA
2145,2045,NA
2147,2045,NA
2143,2045,NA
1632.01,2045,NA
2031,2045,NA
2027,2045,NA
2018.02,2045,NA
1636,2045,NA
1633,2045,NA
2094,2045,NA
2099.02,2045,NA
2106,2045,NA
2098,2045,NA
2105,2045,NA
2104,2045,NA
1623,2045,NA
2128,2045,NA
1622,2045,NA
1614,2045,NA
1617,2045,NA
2080.04,2045,NA
1988,2045,NA
2081,2045,NA
2084,2045,NA
2046,2045,NA
2100,2045,NA
2004,2045,NA
2132,2045,NA
2006.01,2045,NA
2013.01,2045,NA
2058,2045,NA
2056,2045,NA
2005,2045,NA
1697,2045,NA
2012.01,2045,NA
2019,2045,NA
1699,2045,NA
1653,2045,NA
1993,2045,NA
1952,2045,NA
2000,2045,NA
1999,2045,NA
2119,2045,NA
2118,2045,NA
2074.02,2045,NA
2059,2045,NA
2049,2045,NA
2047.01,2045,NA
2048,2045,NA
2032,2045,NA
2015,2045,NA
2016,2045,NA
2017,2045,NA
2138,2045,NA
2125,2045,NA
2126,2045,NA
2135,2045,NA
2134,2045,NA
1977,2045,NA
1629,2045,NA
1635,2045,NA
1628.01,2045,NA
1631,2045,NA
1627,2045,NA
2144,2045,NA
2146,2045,NA
2148,2045,NA
2141,2045,NA
2149,2045,NA
1626,2045,NA
1624,2045,NA
2129,2045,NA
2130,2045,NA
2095,2045,NA
2156,2045,NA
2155,2045,NA
2153,2045,NA
2157,2045,NA
2131,2045,NA
2101,2045,NA
2109,2045,NA
2090,2045,NA
2113,2045,NA
1980,2045,NA
2137,2045,NA
2136,2045,NA
2096.01,2045,NA
2127,2045,NA
2159,2045,NA
2152,2045,NA
1615,2045,NA
1616,2045,NA
1625,2045,NA
1620,2045,NA
1621,2045,NA
1619,2045,NA
1618,2045,NA
1657,2045,NA
1656,2045,NA
1611,2045,NA
1613,2045,NA
1698,2045,NA
1696,2045,NA
1655,2045,NA
1660,2045,NA
1784,2045,NA
1786,2045,NA
1791,2045,NA
1803,2045,NA
1806,2045,NA
1809,2045,NA
1808,2045,NA
1807,2045,NA
1815,2045,NA
1930,2045,NA
1925,2045,NA
1926,2045,NA
1921,2045,NA
1923,2045,NA
1924,2045,NA
1862,2045,NA
1875,2045,NA
1873,2045,NA
1877,2045,NA
1872,2045,NA
1883,2045,NA
1882,2045,NA
1867.01,2045,NA
1843.02,2045,NA
1841.03,2045,NA
1840,2045,NA
1846.01,2045,NA
1839,2045,NA
2117.01,2045,NA
2092,2045,NA
2093,2045,NA
2102,2045,NA
2111.02,2045,NA
2077,2045,NA
2069.01,2045,NA
2073.03,2045,NA
2072,2045,NA
2070,2045,NA
2112.01,2045,NA
2038,2045,NA
2033,2045,NA
2040,2045,NA
2051,2045,NA
2055,2045,NA
1831,2045,NA
1834,2045,NA
1835,2045,NA
1837,2045,NA
1868.02,2045,NA
1870,2045,NA
1864,2045,NA
1829,2045,NA
1892,2045,NA
1722,2045,NA
1725.02,2045,NA
1773,2045,NA
1726.01,2045,NA
1770.01,2045,NA
1727,2045,NA
1729.01,2045,NA
1741.03,2045,NA
1744.01,2045,NA
1750.01,2045,NA
1746,2045,NA
1749,2045,NA
1705,2045,NA
2023,2045,NA
2020,2045,NA
2021,2045,NA
2140,2045,NA
2139,2045,NA
2151,2045,NA
2071,2045,NA
1950,2045,NA
1911,2045,NA
1991,2045,NA
2158,2045,NA
1903,2045,NA
2062.03,2045,NA
2063.01,2045,NA
2061.02,2045,NA
2103,2045,NA
2075.01,2045,NA
2076.01,2045,NA
2074.01,2045,NA
2080.03,2045,NA
2080.02,2045,NA
2080.01,2045,NA
2085.01,2045,NA
2086.03,2045,NA
2086.01,2045,NA
2079.01,2045,NA
2069.02,2045,NA
2073.02,2045,NA
2073.01,2045,NA
2044.02,2045,NA
2062.02,2045,NA
2062.01,2045,NA
2047.02,2045,NA
2066.01,2045,NA
2063.02,2045,NA
2061.01,2045,NA
1676.01,2045,NA
1754.03,2045,NA
1754.01,2045,NA
1753.03,2045,NA
1752.02,2045,NA
1675.02,2045,NA
1673.03,2045,NA
1673.02,2045,NA
1672.02,2045,NA
1662.01,2045,NA
1662.03,2045,NA
1689.01,2045,NA
1689.03,2045,NA
1688.01,2045,NA
1690.02,2045,NA
1682.02,2045,NA
1750.02,2045,NA
1865.04,2045,NA
1865.03,2045,NA
1865.01,2045,NA
1865.02,2045,NA
1867.02,2045,NA
1866.01,2045,NA
1866.02,2045,NA
1843.01,2045,NA
1853.02,2045,NA
1854.01,2045,NA
1851.01,2045,NA
1852.01,2045,NA
1849.01,2045,NA
1848.02,2045,NA
1832.01,2045,NA
1832.03,2045,NA
1847.02,2045,NA
1833.02,2045,NA
1845.01,2045,NA
1845.03,2045,NA
1842.02,2045,NA
1841.04,2045,NA
1841.02,2045,NA
1841.01,2045,NA
1838.02,2045,NA
1869.02,2045,NA
1770.02,2045,NA
1726.02,2045,NA
1725.01,2045,NA
1728.01,2045,NA
1730.01,2045,NA
1729.02,2045,NA
1742.02,2045,NA
1731.01,2045,NA
1739.01,2045,NA
1741.01,2045,NA
1731.03,2045,NA
1744.02,2045,NA
1750.03,2045,NA
1638.02,2045,NA
1639.01,2045,NA
1652.01,2045,NA
1654.02,2045,NA
1665.02,2045,NA
1647.02,2045,NA
1650,2045,NA
2116.02,2045,NA
2117.02,2045,NA
2114.01,2045,NA
2115.01,2045,NA
2114.03,2045,NA
1966.01,2045,NA
1968.02,2045,NA
1817.02,2045,NA
1814.01,2045,NA
1972.01,2045,NA
1972.03,2045,NA
1972.02,2045,NA
2025.02,2045,NA
2025.03,2045,NA
1704.01,2045,NA
1753.01,2045,NA
1704.03,2045,NA
1817.03,2045,NA
2096.02,2045,NA
1943.01,2045,NA
1944.05,2045,NA
1944.03,2045,NA
1944.01,2045,NA
1846.02,2045,NA
2115.02,2045,NA
2076.03,2045,NA
1812,2045,NA
1969.01,2045,NA
1973.02,2045,NA
1868.01,2045,NA
1868.03,2045,NA
1973.01,2045,NA
1973.03,2045,NA
1973.04,2045,NA
2099.01,2045,NA
2111.01,2045,NA
2112.02,2045,NA
2112.03,2045,NA
2112.04,2045,NA
2112.05,2045,NA
2112.06,2045,NA
2089.02,2045,NA
2089.03,2045,NA
2089.04,2045,NA
2036.02,2045,NA
2036.03,2045,NA
1944.04,2045,NA
1944.06,2045,NA
1943.02,2045,NA
1901.03,2045,NA
1901.01,2045,NA
1906.02,2045,NA
1739.02,2045,NA
1741.02,2045,NA
1945.03,2045,NA
2013.02,2045,NA
1989.03,2045,NA
2018.01,2045,NA
2018.03,2045,NA
2012.02,2045,NA
1989.02,2045,NA
2006.02,2045,NA
1688.03,2045,NA
1676.03,2045,NA
1945.01,2045,NA
1833.01,2045,NA
1833.03,2045,NA
1796.01,2045,NA
1796.03,2045,NA
1797.01,2045,NA
1797.03,2045,NA
1632.02,2045,NA
1632.03,2045,NA
1632.04,2045,NA
1630.02,2045,NA
1800.01,2045,NA
1800.02,2045,NA
1800.06,2045,NA
1800.04,2045,NA
1800.05,2045,NA
1798.01,2045,NA
1798.02,2045,NA
1798.04,2045,NA
1793.02,2045,NA
1628.02,2045,NA
1628.03,2045,NA
